Model,Mean_RT_ms,SD_RT_ms,Accuracy_%,N_trials
Classical DDM,1045.1499999999867,579.2146188152187,70.19999999999999,500
Adaptive Baseline,817.7019999999983,313.65010756565715,70.19999999999999,500
Adaptive Time Pressure,540.1579999999993,261.4096153740645,91.60000000000001,500
