trial,coherence,rt,response,correct,v,a
1,0.1,0.8980000000000004,0,False,0.5,1.5
2,0.1,0.45600000000000007,0,False,0.5,1.5
3,0.1,0.8500000000000003,1,True,0.5,1.5
4,0.1,0.8740000000000003,0,False,0.5,1.5
5,0.1,0.5660000000000002,1,True,0.5,1.5
6,0.1,1.0950000000000006,1,True,0.5,1.5
7,0.1,0.7490000000000003,0,False,0.5,1.5
8,0.1,0.37700000000000006,1,True,0.5,1.5
9,0.1,0.7620000000000003,1,True,0.5,1.5
10,0.1,0.7160000000000003,1,True,0.5,1.5
11,0.1,0.6540000000000002,0,False,0.5,1.5
12,0.1,0.6840000000000003,0,False,0.5,1.5
13,0.1,0.38500000000000006,0,False,0.5,1.5
14,0.1,0.7510000000000003,1,True,0.5,1.5
15,0.1,0.6050000000000002,1,True,0.5,1.5
16,0.1,0.7440000000000003,1,True,0.5,1.5
17,0.1,1.4809999999999808,1,True,0.5,1.5
18,0.1,0.8050000000000004,0,False,0.5,1.5
19,0.1,0.39100000000000007,1,True,0.5,1.5
20,0.1,0.6800000000000003,1,True,0.5,1.5
21,0.1,0.5560000000000002,1,True,0.5,1.5
22,0.1,0.36900000000000005,1,True,0.5,1.5
23,0.1,0.4690000000000001,0,False,0.5,1.5
24,0.1,0.38000000000000006,0,False,0.5,1.5
25,0.1,1.0730000000000006,1,True,0.5,1.5
26,0.1,0.6850000000000003,1,True,0.5,1.5
27,0.1,0.7940000000000004,1,True,0.5,1.5
28,0.1,0.6140000000000002,1,True,0.5,1.5
29,0.1,0.35300000000000004,0,False,0.5,1.5
30,0.1,1.0240000000000005,0,False,0.5,1.5
31,0.1,0.8260000000000003,0,False,0.5,1.5
32,0.1,0.4900000000000001,1,True,0.5,1.5
33,0.1,1.39799999999999,0,False,0.5,1.5
34,0.1,0.6280000000000002,1,True,0.5,1.5
35,0.1,0.4130000000000001,0,False,0.5,1.5
36,0.1,0.44300000000000006,1,True,0.5,1.5
37,0.1,0.9860000000000004,1,True,0.5,1.5
38,0.1,0.9550000000000005,1,True,0.5,1.5
39,0.1,1.695999999999957,1,True,0.5,1.5
40,0.1,0.6480000000000002,1,True,0.5,1.5
41,0.1,1.4579999999999833,1,True,0.5,1.5
42,0.1,1.7859999999999472,1,True,0.5,1.5
43,0.1,1.0430000000000006,0,False,0.5,1.5
44,0.1,0.5840000000000002,0,False,0.5,1.5
45,0.1,0.9110000000000005,0,False,0.5,1.5
46,0.1,1.0870000000000006,0,False,0.5,1.5
47,0.1,1.6119999999999663,1,True,0.5,1.5
48,0.1,0.9500000000000004,1,True,0.5,1.5
49,0.1,0.9340000000000004,0,False,0.5,1.5
50,0.1,0.7800000000000004,0,False,0.5,1.5
51,0.1,0.45200000000000007,0,False,0.5,1.5
52,0.1,0.8210000000000004,1,True,0.5,1.5
53,0.1,0.8290000000000004,0,False,0.5,1.5
54,0.1,0.7470000000000003,0,False,0.5,1.5
55,0.1,0.5160000000000001,1,True,0.5,1.5
56,0.1,0.5430000000000001,1,True,0.5,1.5
57,0.1,0.7420000000000003,1,True,0.5,1.5
58,0.1,0.5000000000000001,1,True,0.5,1.5
59,0.1,0.8420000000000003,1,True,0.5,1.5
60,0.1,0.5890000000000002,1,True,0.5,1.5
61,0.1,0.7330000000000003,1,True,0.5,1.5
62,0.1,0.5100000000000001,1,True,0.5,1.5
63,0.1,0.4720000000000001,0,False,0.5,1.5
64,0.1,0.9410000000000005,1,True,0.5,1.5
65,0.1,0.34400000000000003,1,True,0.5,1.5
66,0.1,0.5290000000000001,1,True,0.5,1.5
67,0.1,0.5460000000000002,1,True,0.5,1.5
68,0.1,1.1540000000000006,1,True,0.5,1.5
69,0.1,0.5180000000000001,1,True,0.5,1.5
70,0.1,0.7810000000000004,0,False,0.5,1.5
71,0.1,0.6440000000000002,1,True,0.5,1.5
72,0.1,1.1170000000000007,0,False,0.5,1.5
73,0.1,1.0070000000000006,1,True,0.5,1.5
74,0.1,1.4379999999999855,1,True,0.5,1.5
75,0.1,0.8630000000000004,1,True,0.5,1.5
76,0.1,0.8690000000000004,0,False,0.5,1.5
77,0.1,0.43400000000000005,1,True,0.5,1.5
78,0.1,0.3950000000000001,1,True,0.5,1.5
79,0.1,0.5550000000000002,0,False,0.5,1.5
80,0.1,1.1410000000000007,1,True,0.5,1.5
81,0.1,1.0860000000000005,1,True,0.5,1.5
82,0.1,1.9259999999999318,1,True,0.5,1.5
83,0.1,0.6770000000000003,0,False,0.5,1.5
84,0.1,0.4640000000000001,0,False,0.5,1.5
85,0.1,1.7109999999999554,1,True,0.5,1.5
86,0.1,1.2810000000000008,0,False,0.5,1.5
87,0.1,2.12299999999991,1,True,0.5,1.5
88,0.1,0.8620000000000003,0,False,0.5,1.5
89,0.1,0.9750000000000005,0,False,0.5,1.5
90,0.1,0.7870000000000004,1,True,0.5,1.5
91,0.1,1.0770000000000006,0,False,0.5,1.5
92,0.1,0.4120000000000001,0,False,0.5,1.5
93,0.1,0.4940000000000001,0,False,0.5,1.5
94,0.1,1.2400000000000007,1,True,0.5,1.5
95,0.1,0.7010000000000003,1,True,0.5,1.5
96,0.1,1.1830000000000007,1,True,0.5,1.5
97,0.1,0.43300000000000005,1,True,0.5,1.5
98,0.1,1.9209999999999323,0,False,0.5,1.5
99,0.1,0.7340000000000003,1,True,0.5,1.5
100,0.1,0.5330000000000001,1,True,0.5,1.5
101,0.1,0.5230000000000001,0,False,0.5,1.5
102,0.1,2.296999999999891,0,False,0.5,1.5
103,0.1,1.1700000000000006,1,True,0.5,1.5
