rt,correct,model,final_boundary
1158.0000000000007,0,Classical DDM,
890.0000000000003,1,Classical DDM,
597.0000000000002,1,Classical DDM,
479.0000000000001,0,Classical DDM,
589.0000000000002,1,Classical DDM,
1189.0000000000005,1,Classical DDM,
1228.0000000000007,0,Classical DDM,
831.0000000000005,1,Classical DDM,
520.0000000000001,1,Classical DDM,
815.0000000000003,1,Classical DDM,
1444.99999999999,1,Classical DDM,
1277.0000000000007,0,Classical DDM,
1311.000000000001,1,Classical DDM,
791.0000000000003,1,Classical DDM,
1109.0000000000005,1,Classical DDM,
798.0000000000002,0,Classical DDM,
916.0000000000003,0,Classical DDM,
927.0000000000003,1,Classical DDM,
529.0000000000001,1,Classical DDM,
3346.999999999781,1,Classical DDM,
866.0000000000003,0,Classical DDM,
785.0000000000003,1,Classical DDM,
456.00000000000006,1,Classical DDM,
591.0000000000002,0,Classical DDM,
668.0000000000001,1,Classical DDM,
1461.9999999999882,0,Classical DDM,
1282.0000000000007,1,Classical DDM,
1318.0000000000007,1,Classical DDM,
955.0000000000005,1,Classical DDM,
847.0000000000005,1,Classical DDM,
677.0000000000002,1,Classical DDM,
568.0000000000002,1,Classical DDM,
755.0000000000003,0,Classical DDM,
1293.0000000000007,0,Classical DDM,
1061.0000000000005,0,Classical DDM,
915.0000000000003,1,Classical DDM,
1180.0000000000007,1,Classical DDM,
730.0000000000002,1,Classical DDM,
1604.9999999999725,1,Classical DDM,
1111.0000000000007,0,Classical DDM,
811.0000000000003,0,Classical DDM,
693.0000000000002,1,Classical DDM,
611.0000000000002,1,Classical DDM,
1831.9999999999475,0,Classical DDM,
1007.0000000000006,1,Classical DDM,
631.0000000000002,1,Classical DDM,
695.0000000000002,1,Classical DDM,
1320.0000000000007,1,Classical DDM,
500.0000000000001,1,Classical DDM,
544.0000000000001,1,Classical DDM,
1348.0000000000007,1,Classical DDM,
1903.9999999999395,1,Classical DDM,
835.0000000000005,1,Classical DDM,
1355.0,0,Classical DDM,
883.0000000000003,1,Classical DDM,
1184.0000000000007,1,Classical DDM,
874.0000000000003,1,Classical DDM,
494.0000000000001,1,Classical DDM,
609.0000000000002,0,Classical DDM,
414.00000000000006,0,Classical DDM,
666.0000000000001,1,Classical DDM,
2157.9999999999113,1,Classical DDM,
552.0000000000001,0,Classical DDM,
692.0000000000002,1,Classical DDM,
635.0000000000002,1,Classical DDM,
602.0000000000001,1,Classical DDM,
1370.9999999999982,1,Classical DDM,
746.0000000000002,0,Classical DDM,
622.0000000000001,1,Classical DDM,
1415.9999999999932,0,Classical DDM,
1304.0000000000007,0,Classical DDM,
722.0000000000002,1,Classical DDM,
1202.0000000000007,0,Classical DDM,
1927.9999999999368,1,Classical DDM,
730.0000000000002,0,Classical DDM,
1918.999999999938,0,Classical DDM,
722.0000000000002,1,Classical DDM,
443.00000000000006,0,Classical DDM,
883.0000000000003,0,Classical DDM,
1368.9999999999984,1,Classical DDM,
590.0000000000002,0,Classical DDM,
1734.9999999999582,1,Classical DDM,
494.0000000000001,0,Classical DDM,
610.0000000000001,0,Classical DDM,
570.0000000000002,0,Classical DDM,
1423.9999999999923,1,Classical DDM,
1315.000000000001,0,Classical DDM,
581.0000000000002,1,Classical DDM,
1870.9999999999432,0,Classical DDM,
593.0000000000002,1,Classical DDM,
918.0000000000003,1,Classical DDM,
1251.0000000000007,0,Classical DDM,
729.0000000000003,1,Classical DDM,
786.0000000000002,0,Classical DDM,
1567.9999999999766,0,Classical DDM,
933.0000000000003,1,Classical DDM,
790.0000000000002,1,Classical DDM,
1365.9999999999989,1,Classical DDM,
1540.9999999999795,1,Classical DDM,
1102.0000000000005,1,Classical DDM,
771.0000000000003,1,Classical DDM,
1427.999999999992,1,Classical DDM,
592.0000000000002,1,Classical DDM,
2405.9999999998845,1,Classical DDM,
562.0000000000001,0,Classical DDM,
745.0000000000003,1,Classical DDM,
694.0000000000002,1,Classical DDM,
502.0000000000001,1,Classical DDM,
615.0000000000002,1,Classical DDM,
1963.999999999933,1,Classical DDM,
567.0000000000002,1,Classical DDM,
638.0000000000001,1,Classical DDM,
711.0000000000003,1,Classical DDM,
475.0000000000001,1,Classical DDM,
497.0000000000001,1,Classical DDM,
1019.0000000000006,0,Classical DDM,
1179.0000000000007,1,Classical DDM,
619.0000000000002,0,Classical DDM,
671.0000000000002,1,Classical DDM,
1682.9999999999638,1,Classical DDM,
738.0000000000002,1,Classical DDM,
738.0000000000002,0,Classical DDM,
503.0000000000001,0,Classical DDM,
1081.0000000000005,1,Classical DDM,
931.0000000000003,1,Classical DDM,
556.0000000000001,1,Classical DDM,
577.0000000000002,0,Classical DDM,
1505.9999999999834,1,Classical DDM,
1280.0000000000007,0,Classical DDM,
611.0000000000002,1,Classical DDM,
1123.0000000000007,0,Classical DDM,
