Condition,Drift Rate (v),Boundary (a),Non-decision Time (ms),Fit Error
Baseline,0.5,1.6428571428571428,350.00000000000006,0.03770893076507688
Time Pressure,1.3333333333333335,1.2142857142857142,200.0,0.034738095302854696
