condition,true_v,true_a,true_ter,est_v,est_a,est_ter,error,v_error,a_error,ter_error
Baseline Low,0.5,1.6,0.35,0.5,1.8,0.2,0.13958845657177024,0.0,0.19999999999999996,0.14999999999999997
Baseline Med,1.0,1.6,0.35,0.9285714285714286,1.6,0.4,0.06450181425647467,0.0714285714285714,0.0,0.050000000000000044
Baseline High,1.5,1.6,0.35,1.5714285714285714,1.4,0.35,0.0022256815345644662,0.0714285714285714,0.20000000000000018,0.0
Time Pressure Low,0.5,1.2,0.2,0.7142857142857143,1.0,0.35,0.039350260484278886,0.2142857142857143,0.19999999999999996,0.14999999999999997
Time Pressure Med,1.0,1.2,0.2,1.3571428571428572,1.0,0.3,0.05019239649068744,0.3571428571428572,0.19999999999999996,0.09999999999999998
Time Pressure High,1.5,1.2,0.2,1.7857142857142856,1.0,0.35,0.012963664910766217,0.2857142857142856,0.19999999999999996,0.14999999999999997
