Condition,Metric,Real Data,Simulation,Difference
Baseline,RT (ms),1822.3288814691152,785.9865996649874,1036.3422818041279
Baseline,Accuracy (%),70.11686143572621,82.41206030150754,12.29519886578133
Time Pressure,RT (ms),534.1308243727599,321.6254480286738,212.50537634408607
Time Pressure,Accuracy (%),70.07168458781362,58.602150537634415,11.469534050179206
